Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Beli,Chrome 83.0.4103.116,,,2020-07-09 16:21:52,2020-07-09 16:25:25,3m - 32.880s,FAILED
,,,,,,,
Test Cases/Pembelian/Pembelian_Positif,Chrome 83.0.4103.116,,,2020-07-09 16:21:52,2020-07-09 16:23:57,2m - 5.604s,FAILED
"SetCreateFolder = ""IDPhotoBooks""",Chrome 83.0.4103.116,,,2020-07-09 16:21:52,2020-07-09 16:21:52,0.154s,PASSED
"SetSeparate = ""CallCreateSubFolder""",Chrome 83.0.4103.116,,,2020-07-09 16:21:52,2020-07-09 16:21:52,0.001s,PASSED
"SetTestScriptID = findTestData(""Pembelian/Pembelian"").getValue(""SCRIPT ID"", 1)",Chrome 83.0.4103.116,,,2020-07-09 16:21:52,2020-07-09 16:21:53,0.434s,PASSED
"callTestCase(findTestCase(""Services/SVC_Separate""), null)",Chrome 83.0.4103.116,,,2020-07-09 16:21:53,2020-07-09 16:21:53,0.633s,PASSED
"openBrowser(findTestData(""URL/URL"").getValue(1, 1))",Chrome 83.0.4103.116,,,2020-07-09 16:21:53,2020-07-09 16:22:01,7.199s,PASSED
maximizeWindow(),Chrome 83.0.4103.116,,,2020-07-09 16:22:01,2020-07-09 16:22:03,2.172s,PASSED
"click(findTestObject(""Login/Login Negatif/Page_Home  IDPhotobook/div_Akun""))",Chrome 83.0.4103.116,,,2020-07-09 16:22:03,2020-07-09 16:22:03,0.341s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:22:03,2020-07-09 16:22:05,2.006s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:22:05,2020-07-09 16:22:07,1.801s,PASSED
"setText(findTestObject(""Object Repository/Login/Login Positif/Page_Login  IDPhotobook/input_Yuuk Login ke IDPhotobookcom_mat-input-0""), findTestData(""Login/Login_Positif"").getValue(""WhatsApp"", 1))",Chrome 83.0.4103.116,,,2020-07-09 16:22:07,2020-07-09 16:22:07,0.631s,PASSED
"setText(findTestObject(""Object Repository/Login/Login Positif/Page_Login  IDPhotobook/input_Nomor Whatsapp  Email_mat-input-1""), findTestData(""Login/Login_Positif"").getValue(""Password"", 1))",Chrome 83.0.4103.116,,,2020-07-09 16:22:07,2020-07-09 16:22:08,0.582s,PASSED
"click(findTestObject(""Object Repository/Login/Login Positif/Page_Login  IDPhotobook/button_Masuk Sekarang""))",Chrome 83.0.4103.116,,,2020-07-09 16:22:08,2020-07-09 16:22:08,0.306s,PASSED
"callTestCase(findTestCase(""Services/SVC_Get Capture""), null, STOP_ON_FAILURE)",Chrome 83.0.4103.116,,,2020-07-09 16:22:08,2020-07-09 16:22:11,2.241s,PASSED
"click(findTestObject(""Object Repository/Pembelian/Beli_Positif/Page_Akun  IDPhotobook/div_Asset 1Katalog""))",Chrome 83.0.4103.116,,,2020-07-09 16:22:11,2020-07-09 16:22:11,0.303s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:22:11,2020-07-09 16:22:13,2.001s,PASSED
"click(findTestObject(""Pembelian/Produk/Page_Katalog  IDPhotobook/NewBellaSerries(1)""))",Chrome 83.0.4103.116,,,2020-07-09 16:22:13,2020-07-09 16:22:13,0.307s,PASSED
delay(2),Chrome 83.0.4103.116,,,2020-07-09 16:22:13,2020-07-09 16:22:15,2.001s,PASSED
"click(findTestObject(""Object Repository/Pembelian/Beli_Positif/Page_Masker Non Medic  IDPhotobook/div_Pesan Sekarang""))",Chrome 83.0.4103.116,,,2020-07-09 16:22:15,2020-07-09 16:22:16,0.317s,PASSED
